VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20210909-r41015,192,0,0,0,0,1,6,12,302,823,0,0,0,0,16,0,48,306
20210913-r11016,35,0,0,0,0,7,8,54,331,227,0,0,0,0,30,0,0,298
20210914-t2148,138,0,2,5,3,34,55,91,94,349,0,0,0,0,1,0,352,1064
20210916-r41016,222,0,0,0,0,1,3,23,90,393,0,0,0,0,2,0,456,0
20210920-r11017,17,0,0,0,2,8,15,80,461,174,0,0,0,0,1,0,0,238
20210922-rd2107,29,0,0,0,2,1,2,15,12,17,0,0,0,0,4,0,44,0
20210923-r41017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0
20210927-r11018,65,0,0,2,5,16,36,175,687,368,0,0,0,0,1,1,284,160
20210930-r41018,79,0,0,0,0,1,2,26,220,662,0,0,0,0,20,2,0,398
20211004-r11019,48,0,0,0,0,20,78,145,555,545,0,0,0,0,5,0,0,286
20211006-rd2108,9,0,0,1,1,2,3,1,7,2,0,0,0,0,0,0,0,6
20211007-r41019,92,0,0,0,0,0,0,7,270,652,0,0,0,0,13,2,0,410
20211012-r11020,78,0,0,0,4,18,46,173,797,509,0,0,0,0,0,1,0,214
20211014-r41020,191,0,0,0,0,0,2,10,202,876,0,0,0,0,14,1,0,468
20211018-r11021,179,0,0,0,6,19,57,146,719,734,0,0,0,0,2,0,262,470
20211019-t2149,371,0,0,0,1,7,5,47,74,461,0,0,0,0,0,0,4,670
20211021-r41021,206,0,0,0,0,0,0,27,244,780,0,0,0,0,13,4,0,406
20211025-r11022,66,0,0,0,0,1,7,33,116,300,0,0,0,0,1,0,0,0
20211028-r41022,211,0,0,0,1,2,36,52,148,719,0,0,0,0,7,0,0,0
20211102-r11023,50,0,0,0,0,0,2,8,81,239,0,0,0,0,20,0,0,82
20211104-r41023,227,0,0,0,2,2,14,167,125,677,0,0,0,0,22,6,8,0
20211108-r11024,88,0,0,0,0,4,8,64,154,270,0,0,0,0,0,0,44,0
20211111-r41024,499,0,0,0,0,0,0,8,35,296,0,0,0,0,3,1,8,0
20211115-r11025,713,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,48
20211118-r41025,298,0,0,0,0,6,8,48,134,1074,0,0,0,0,9,5,0,0
20211122-rd2109,20,0,0,0,1,1,2,18,54,134,0,0,0,0,2,0,0,622
20211123-r11026,85,0,0,0,0,0,0,15,143,585,0,0,0,0,0,0,458,0
20211125-r41026,208,0,0,0,0,0,1,4,114,374,0,0,0,0,8,1,0,0
20211129-r11027,3,0,0,0,0,0,7,16,73,243,0,0,0,0,0,0,0,146
20211130-t2p150,214,1,1,12,54,68,141,293,536,363,0,0,0,0,0,1,0,924
20211202-r41027,329,0,0,0,0,0,2,22,212,907,0,0,0,0,12,0,0,0
20211206-r11028,27,0,1,0,1,5,4,35,501,262,0,0,0,0,0,0,0,0
20211209-r41028,149,0,0,0,0,0,0,9,357,955,0,0,0,0,22,0,78,18
20211213-r11029,66,0,0,0,3,15,40,204,1113,829,0,0,0,0,0,0,0,268
20211214-rd2110,120,0,0,0,1,4,7,36,208,361,0,0,0,0,1,0,0,0
20211216-r41029,91,0,0,0,0,0,2,28,310,772,0,0,0,0,14,9,0,112
20211220-r11030,55,0,0,1,6,36,93,312,1548,1067,0,0,0,0,9,27,2,522
20211222-r41030,191,0,0,0,0,0,4,7,329,960,0,0,0,0,3,0,2,18
20211227-r11031,3,0,0,0,1,9,14,80,285,289,0,0,0,0,0,1,0,0
20211229-r41031,362,0,0,0,0,3,9,22,197,906,0,0,0,0,15,28,2,12
20220103-r11032,200,0,0,0,2,43,113,367,1267,841,0,0,0,0,1,16,0,72
20220106-r41032,255,0,0,0,0,0,0,15,88,819,0,0,0,0,3,0,0,0
20220110-r11033,27,0,0,0,0,0,0,8,73,350,0,0,0,0,0,0,0,0
20220111-t2p151,34,0,3,4,18,39,57,116,288,123,0,0,0,0,0,0,112,170
20220112-rd2201,114,0,0,0,4,7,17,74,209,358,0,0,0,0,0,0,5,0
20220113-r41033,106,0,0,0,0,0,0,22,147,734,0,0,0,0,5,0,0,0
20220118-r11034,15,0,0,0,1,3,14,46,142,191,0,0,0,0,10,0,0,1956
20220120-r41034,87,0,0,0,0,1,2,8,133,620,0,0,0,0,9,2,0,108
20220124-r11035,55,0,0,1,4,10,45,189,880,958,0,0,0,0,2,0,0,390
