VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20200824-r1961,284,0,0,0,0,0,6,18,67,773,0,0,0,0,0,0,0,0
20200827-r4961,152,0,0,0,0,1,1,0,17,423,0,0,0,0,8,0,0,648
20200831-r1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1898
20200903-r4962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828
20200908-r1963,155,0,0,0,0,0,0,4,10,206,0,0,0,0,3,0,0,0
20200909-rd2008,407,0,0,0,0,0,2,9,76,649,0,0,0,0,14,3,0,0
20200910-r4963,405,0,0,0,0,0,0,1,6,634,0,0,0,0,4,2,0,0
20200914-r1964,328,0,0,0,0,6,5,26,98,747,0,0,0,0,0,0,10,0
20200915-t2141,425,0,0,0,0,1,3,45,103,826,0,0,0,0,6,13,8,502
20200917-r4964,266,0,0,0,0,0,0,2,17,439,0,0,0,0,3,1,0,0
20200921-r1965,589,0,0,0,0,0,2,26,149,1193,0,0,0,0,3,0,2,352
20200924-r4965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200928-r1966,789,0,0,0,1,7,25,140,92,540,0,0,0,0,0,0,24,0
20201001-r4966,359,0,0,0,0,0,0,4,73,369,0,0,0,0,8,1,0,0
20201005-r1967,74,0,0,0,0,0,1,9,30,305,0,0,0,0,1,0,0,0
20201008-r4967,260,0,0,0,0,0,0,5,10,361,0,0,0,0,6,2,0,0
20201013-r1968,262,0,0,0,1,1,1,14,140,759,0,0,0,0,0,0,0,0
20201015-r4968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526
20201019-r1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201022-r4969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548
20201026-r1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570
20201029-r4970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584
20201103-r1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950
